"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000419.12|DPM1"	537.413565466841	-0.574293060836231	0.40193231143469	-1.42883028932484	0.153053017537959	0.477676430225165
"ENSG00000000457.13|SCYL3"	109.098643602428	0.479939932176106	0.836891475626486	0.5734792934972	0.566320215265531	0.852867238517423
"ENSG00000000460.16|C1orf112"	66.2157246426458	0.185966040093404	0.830579177880222	0.2238992320612	0.822835713288738	0.953208788740123
"ENSG00000000938.12|FGR"	6223.79413109698	0.88874062489253	0.54454140397397	1.63209008241918	0.102660510699439	0.383873295542686
"ENSG00000000971.15|CFH"	8.7087435749267	0.2673855322942	1.87168910717603	0.142857877020841	0.886402426536147	0.969430798696901
"ENSG00000001036.13|FUCA2"	599.281359758051	-0.250990560525653	0.634551966174125	-0.395539804310968	0.692444551850738	0.90971274110139
"ENSG00000001084.10|GCLC"	84.1212272477146	-0.467761977023165	0.785598771139013	-0.59542096322907	0.551562116222478	0.845969141506518
"ENSG00000001167.14|NFYA"	96.7724796260034	0.350502292652056	0.746471127965909	0.46954567902332	0.638679642128695	0.886535773188353
"ENSG00000001460.17|STPG1"	53.7977463977081	1.5360835371734	1.00989876337509	1.52102724835487	0.128252999557042	0.433915390267056
"ENSG00000001461.16|NIPAL3"	687.37250746365	1.06089663027589	0.432644692681337	2.45211983001786	0.0142017359166925	0.120717100394393
"ENSG00000001497.16|LAS1L"	889.07765812751	-0.0706469032343121	0.282691114439192	-0.249908467673145	0.802658134708855	0.947724728609974
"ENSG00000001561.6|ENPP4"	73.601423142443	1.00576350387484	0.710489932645976	1.41559149209788	0.156895143730376	0.483779444588448
"ENSG00000001629.9|ANKIB1"	87.3977506603882	0.919006906465067	0.625245429772508	1.46983386475842	0.141606754902723	0.457909713318298
"ENSG00000001630.15|CYP51A1"	98.7447484281749	-0.335428031758162	0.522955075965584	-0.641408884193022	0.521257062342887	0.829412125748109
"ENSG00000001631.15|KRIT1"	86.9500510324434	-0.249054333363822	0.719732365939721	-0.346037423283922	0.729314590345329	0.92139751464493
"ENSG00000002016.17|RAD52"	85.4791131345621	2.15965448617547	1.0422465677687	2.07211474996649	0.0382547410928288	0.219251210054607
"ENSG00000002330.13|BAD"	1646.89621670035	-0.869518274848262	0.378078739173644	-2.2998338302459	0.0214576360363369	0.153191954183288
"ENSG00000002549.12|LAP3"	1726.64260366793	-0.353005110605133	0.468666540396698	-0.75321167648609	0.451322723827996	0.784649969598902
"ENSG00000002586.18|CD99"	14222.5743851981	-0.433651703563257	0.26636771097123	-1.62801903422182	0.103520849828592	0.385861442124717
"ENSG00000002587.9|HS3ST1"	53.5212610774487	1.572874849881	1.26304755493032	1.24530136948626	0.213020992463881	0.56439765030068
"ENSG00000002726.20|AOC1"	12.4787077471611	-2.54771931936097	2.94197562213259	-0.86598926931766	NA	NA
"ENSG00000002745.12|WNT16"	20.7030400311673	6.80134087080774	1.8192739923705	3.73849178261799	0.000185127542802232	0.00701022158516195
