"Sample_1"	"Sample_2"	"Sample_3"	"Sample_4"	"Sample_5"	"Sample_6"	"Sample_7"	"Sample_8"	"Sample_9"
"ENSG00000000419.12|DPM1"	10.0453590804217	9.80302915429419	9.10672697180181	9.01462608247327	9.50911371044155	9.16681777892324	9.50327784813685	9.10024601528516	9.18649323649706
"ENSG00000000457.13|SCYL3"	8.14825969466165	7.99352850615966	6.87943038381645	7.45237301245306	8.10432773543732	8.40142427489016	7.76741941408629	8.10045868783874	7.74886661658562
"ENSG00000000460.16|C1orf112"	7.63676662293555	7.85167626146937	6.87943038381645	7.66913148964701	7.5692286117812	7.60235708706198	7.14962532993302	7.86708970268731	7.66463891044252
"ENSG00000000938.12|FGR"	10.975760268525	11.1108164143473	12.7735714136832	13.1569806766775	12.2170782763252	12.6665376398418	12.2118650428161	13.4088857000285	13.3145502682454
"ENSG00000000971.15|CFH"	6.31168693966742	6.94642448631715	6.80890947752234	7.02873227264222	6.31168693966742	6.82252640565095	6.80917704221885	6.64267815996535	6.80533801563687
"ENSG00000001036.13|FUCA2"	9.46288160086666	8.52769059603122	9.98049113928234	9.89189630308053	8.5775679232757	8.93105853480451	8.98527145820476	10.4589283350084	9.83227047146165
"ENSG00000001084.10|GCLC"	7.99673471404059	8.31294078196597	7.03735305821849	7.49745612987713	7.45156588708308	7.99890372392242	7.51264097500334	7.61811080710795	7.68632247211505
"ENSG00000001167.14|NFYA"	8.13580703373034	7.24070203804794	7.95273952088619	7.8329165777937	7.37936018211984	8.54472483197585	7.60152098693075	7.55736622583014	7.64696687401227
"ENSG00000001460.17|STPG1"	7.70244873354438	6.97417273303169	6.76941002185406	8.04467921886513	8.08113545315835	7.30803815357976	7.1803496904475	7.29848693529266	6.74751412533393
"ENSG00000001461.16|NIPAL3"	9.33647084721211	9.0940484245654	8.8677529105915	9.80235194608965	10.0231657537369	10.0560264386438	10.5453675101539	9.42641321624539	9.44964961454171
"ENSG00000001497.16|LAS1L"	10.0015285405343	10.3990374217376	9.83652253773022	9.97773955966154	10.0852834000849	10.0457029822337	10.0267641831367	9.80594766690728	9.96104781020868
"ENSG00000001561.6|ENPP4"	7.15713098719332	7.60462537308795	7.59795147879969	7.47517834827008	8.28894401689722	7.86015133131826	7.62950454150065	7.16424113994544	7.61988804285514
"ENSG00000001629.9|ANKIB1"	7.15713098719332	7.51209894252023	7.58474362627682	8.05134541964381	7.42335224339238	7.91202850561095	8.11409420242825	8.03614368271778	7.68632247211505
"ENSG00000001630.15|CYP51A1"	7.99673471404059	7.80021208777043	8.07899461816156	7.98295229011056	7.65209277807632	7.73557017603533	7.73455682180669	7.49271753379798	8.01163162469242
"ENSG00000001631.15|KRIT1"	8.10411135540508	7.0974025262564	7.923840431389	7.63124073570624	7.50560876563098	7.86603260711466	7.67454093775288	8.09078340997984	7.5826460064368
"ENSG00000002016.17|RAD52"	6.48310479713465	7.60462537308795	7.21609528926958	7.59192182183572	8.59332891781135	8.11838887325159	8.06501171754877	7.44125296878841	7.21028932258329
"ENSG00000002330.13|BAD"	11.1036280740522	11.5387045945105	10.9789425981201	10.9573972772652	10.0212971765513	10.1219136261584	10.8959746496208	10.6897720923691	10.3705304489378
"ENSG00000002549.12|LAP3"	10.648828834677	10.4674377184599	11.3586412270373	10.5614257779747	10.3943648811433	10.7009943995299	9.98030783026018	11.5514636234821	11.4277693569222
"ENSG00000002586.18|CD99"	14.3048393744795	13.9598924441928	13.694181489597	13.5415233199864	13.6588785564731	13.5339133751482	13.8876665977408	13.9877074275953	13.5363589719824
"ENSG00000002587.9|HS3ST1"	7.64640316463344	6.58412318769724	6.58843892982313	6.84855590346014	8.14202952729759	7.68150058823087	7.67454093775288	7.08729969979128	7.6107029397277
"ENSG00000002726.20|AOC1"	6.31168693966742	6.58412318769724	6.45022196988644	6.31168693966742	6.31168693966742	6.31168693966742	7.90440376778952	6.52129916431147	6.31168693966742
"ENSG00000002745.12|WNT16"	6.31168693966742	6.31168693966742	6.45022196988644	6.48234158957218	7.50560876563098	7.59485471918643	7.06673951320859	6.93618967134966	7.06965554477687
"ENSG00000002822.15|MAD1L1"	10.6088340363893	10.474679603739	10.1407244590143	11.5437011487729	11.8185003877841	11.4032982389507	11.1927371645819	11.1356595772545	11.1362696514452
"ENSG00000002834.17|LASP1"	11.0013099502334	11.0741660779183	11.5532703221617	11.1415881871247	11.721673971943	11.57107664165	11.5788146991305	11.571522656003	11.656150783608
"ENSG00000002919.14|SNX11"	10.048438885935	9.89913804418422	9.54800644368165	9.16221122402308	9.53305641889285	9.71839963300786	9.58409033920671	9.46860900110155	9.59657065045817
"ENSG00000002933.7|TMEM176A"	8.81455221764934	9.53948357300636	12.887661033329	11.4657544122772	10.9846795112859	7.55649279708066	8.45887848009597	12.0812740339847	9.68234845519133
"ENSG00000003056.7|M6PR"	10.4610911913016	9.8969751708339	10.5743369602445	11.1655773148813	10.8991163668229	11.1582490400413	10.673865701623	11.4631669942543	11.6029040103185
"ENSG00000003096.14|KLHL13"	7.23528075226541	6.31168693966742	6.31168693966742	6.31168693966742	6.31168693966742	6.31168693966742	6.31168693966742	6.84354854137783	6.31168693966742
"ENSG00000003147.17|ICA1"	7.27877812445167	6.58412318769724	7.16469104485422	7.91782732711594	7.93171062598634	7.97777859874998	7.25228688040566	7.95193390468772	7.46185058960988
"ENSG00000003249.13|DBNDD1"	8.67790354417876	6.31168693966742	7.57136264773349	7.46384362072694	8.5616169169221	8.44242801721468	7.71774727865543	7.1519577228966	7.36604378907489
"ENSG00000003393.14|ALS2"	6.48310479713465	6.6964018103013	7.42656613988555	7.36788535355197	7.94927471962161	6.56810545047451	7.10104317748328	7.40532062917687	7.32967211177685
"ENSG00000003400.14|CASP10"	8.50711667344719	7.22177145667143	8.16173092077706	8.68551036750944	8.85784183905399	8.63331395763814	8.62228356147639	8.80171185831752	8.40532358165166
"ENSG00000003402.19|CFLAR"	11.7046444230848	11.4702366094259	11.1377688692068	10.9460313026573	11.2226227064321	11.1995248083935	11.1333171194069	11.5425483921424	11.260650843954
"ENSG00000003436.15|TFPI"	7.8229589600403	6.31168693966742	6.45022196988644	6.31168693966742	6.72907126736121	6.31168693966742	7.06673951320859	8.25853530102192	7.35408435281149
"ENSG00000003509.15|NDUFAF7"	8.64882233625962	8.46813037720752	7.80582204095593	7.24599303044872	7.40892011222786	8.12312097439548	8.15548243161576	7.74312881680112	7.94877852728657
"ENSG00000003756.16|RBM5"	9.89597297207489	9.8882906464586	9.89698634215426	10.0827184116872	9.81437894584696	10.5178726183776	9.76353137060749	9.43353440150959	9.61802400903655
"ENSG00000003987.13|MTMR7"	6.31168693966742	6.31168693966742	6.82748520938245	6.69239922398189	6.31168693966742	7.13887191770342	6.54710840976534	6.31168693966742	6.31168693966742
"ENSG00000004059.10|ARF5"	12.3875445967847	12.3886858685057	12.5501985673088	12.3267751334834	12.4386119968467	11.9333338959453	12.3091106099278	12.5546100239678	12.2143292508075
"ENSG00000004139.13|SARM1"	7.67479501251848	7.25920477874826	7.25496277062314	7.84883145615362	7.09666385179298	8.47861357687529	7.88268836721236	7.72327822180195	7.07821904729557
"ENSG00000004142.11|POLDIP2"	10.8644192103418	11.1591726938167	11.0996755810078	10.7100560539639	10.6006028380762	11.0663277219589	11.3352239235936	11.3571313600634	11.1920938310408
"ENSG00000004399.12|PLXND1"	9.59377010073985	10.0409606878723	9.62041407384785	9.649413092585	9.41766599325794	8.87120361184949	9.6080526290559	9.16414424913895	9.60928696505793
"ENSG00000004455.16|AK2"	10.0803817100735	9.3835137496902	10.0543802306175	10.6602147342607	10.1550619590376	10.4078187703281	10.6007245278631	10.6220217306488	10.7629566145215
"ENSG00000004468.12|CD38"	8.39490467851516	7.87162503568809	7.77845159979017	8.64020173496031	8.62939233631372	9.14736763316965	8.46344975417194	9.40483042447358	9.44089801108477
"ENSG00000004478.7|FKBP4"	9.08027073386211	9.12060904968684	9.31211534566472	10.0265578721055	9.63971229907924	9.88759090122453	8.94126689722824	9.02136612656367	9.28800902394572
"ENSG00000004487.15|KDM1A"	9.25259906103038	9.23939893717564	9.22134664572954	8.5889509320976	9.1709470911337	8.65846689419672	9.10375737783298	9.23958227914009	8.63126414176893
"ENSG00000004534.14|RBM6"	9.99515557416993	10.0390028968364	10.3142675425973	10.4576205904724	10.2521391780421	10.47588250701	9.88747321971691	9.70560848958183	10.3270802429683
"ENSG00000004660.14|CAMKK1"	7.88640897212035	8.36677533419459	8.89772563015767	6.55288877209104	7.71826219821214	7.83028008787713	6.64425585525209	7.63275311421576	7.88953566580993
