"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000002745.12|WNT16"	20.7030400311673	6.80134087080774	1.8192739923705	3.73849178261799	0.000185127542802232	0.00701022158516195
"ENSG00000002822.15|MAD1L1"	2095.49807046244	1.27546371423329	0.263172652472026	4.84649032584745	1.25664712811204e-06	0.000206530603261466
"ENSG00000005020.12|SKAP2"	536.597044837422	1.78364465964819	0.50178472993451	3.55460131256083	0.000378552635306558	0.0113012848540396
"ENSG00000005102.12|MEOX1"	58.4119716031183	5.221602338174	1.32385591412019	3.94423764888658	8.00542399587726e-05	0.00373165115035893
"ENSG00000005486.16|RHBDD2"	4358.56100826073	-1.76970076043044	0.26567584724593	-6.66112775690999	2.71734295173893e-11	4.81332014851356e-08
"ENSG00000005812.10|FBXL3"	148.427367831678	-1.73520539207166	0.405935459906791	-4.27458441908496	1.91494140013144e-05	0.00143726741446718
"ENSG00000005884.17|ITGA3"	10.6964572274972	7.12477466358474	2.03978985113809	3.49289641754493	0.000477811811298911	0.0131106297688937
"ENSG00000007312.12|CD79B"	3398.1847855416	1.73159236496812	0.498173407312241	3.47588277405343	0.000509174798460379	0.013642461574883
"ENSG00000007402.11|CACNA2D2"	149.141559161034	-2.57196728421552	0.727324076923806	-3.53620533929466	0.000405919048999931	0.0118238518106691
"ENSG00000009790.14|TRAF3IP3"	3592.65624505273	1.15248119639292	0.346553389439035	3.32555165095466	0.000882437486023603	0.0204474104682969
"ENSG00000010165.19|METTL13"	217.746762746837	1.8929385246864	0.560466274148462	3.37743520350518	0.000731651888614121	0.017944606781979
"ENSG00000010219.13|DYRK4"	143.802221539357	1.87544190896433	0.593541700358545	3.15974750861047	0.0015790591629509	0.0301629241602526
"ENSG00000010244.18|ZNF207"	2778.33896459147	-1.11316359246533	0.273615311111258	-4.06835271003054	4.7346674921119e-05	0.00256734929113088
"ENSG00000010404.17|IDS"	2355.08590608709	-1.05581836019715	0.267524863016665	-3.94661770233814	7.92629647616105e-05	0.00371650054185175
"ENSG00000011007.12|ELOA"	1065.38015600532	-1.20832217207574	0.287914058678555	-4.19681545813221	2.70694325466088e-05	0.0018108202120173
"ENSG00000011009.10|LYPLA2"	2379.10753940884	1.10120667590467	0.311996383377837	3.52954949022941	0.000416267840314355	0.0119785955059412
"ENSG00000018699.11|TTC27"	100.902642448323	2.45397924010006	0.61153914211634	4.01279177585857	6.00048402668238e-05	0.00305622096975624
"ENSG00000023330.14|ALAS1"	314.17216656275	-1.35385850734321	0.444420682345292	-3.04634451348807	0.00231642251626436	0.0385473984909044
